"","text"
"166","presiden jokowi menolak wacana jabatan presiden   riode "
"167","   rtanyaanmu serti  rtanyaanmu    bera t "
"168","jokowi otw  riode "
"169"," yes  jokowi  riode"
"170"," tetaaja jokowi  esiden  riode  lolemang suara sumbar bera sih"
"171"," sumbar dn aceh    riode les tdk mendukung esiden jokowi sumbar dn aceh tdk ngaruh keda "
"172","menjabat  riode presiden jokowi mantu  kalikira total sumbangan  didat beracc "
"173","   cebong yg nikta raja cebong n  nik   "
"174","a  maksain  riodeudh sti  chaos  njuru negeri "
"175"," lih jokowi  riode aja bg"
"176","  ti ganti esiden krna jokowi udah  riodejd yg  mksd rubahan n ganti  a nya"
"177","relawan kecam snduk jokowi  periode    gbk   sekat "
"178"," tolol curi star  jokowi kumlin relawan   ngain emang   riodetolol"
"179"," lho demokrasi  sah sah   ndat  ndat ngawurmu ituya "
"180","  rakyat indonesia  sehat akal  budinya menganggak jokowi layak   jadikan esi "
"181"," gebukin   tau mundur  manusia beradab  digebukin  mundur  c "
"182"," cebong  mnyebar diseluruh indonesia ygmemilih jokowi  "
"183","  isue  riode  k jokowi tetanya ngaruh sami ujung  jabatannya ilmu mu k "
"184"," terserah  tu jd firasat a kode alamtyg ti jokowi sdh  riodekadrun  st "
"185"," pernjangan  jabatan     riode inkonstitusionalpemakzulanimachment jokowi  "
"186"," gak  esiden  riode  ogah  sidang mpr  udah  dr  anggota dpr mpr jd ga "
"187"," jokowi  periode"
"188"," drun ente ga rlu sibuk urusin utang negara biarkan  jokowi  tim nya yg urus biarkan jokowi  riode"
"189","presiden jokowi menolak wacana  jabatan  periode "
"190"," baiknya bak jokowi  riode  kadrun  kelojotaneeengga  ding uu nya "
"191","    presiden  calon itun kalo  tweet serti  yg  ndukung jok "
"192"," snduk  periode  acara gbk sukarelawan jokowi kasih peringatan  emosional "
"193"," ketakutan a ya jokowi rna tugas riode  a yg beliau takutkan "
"194"," lu  jokowi mundursaya  jokowi  riode "
"195"," takut aan joman  mendukung ga  kecurigaan  jokowicuma congoran lu doang  bacotin "
"196","   tdk  dikabulkan  jokowi gitu loh berkuasa nuh  indonesia  jam sehari seta "
"197","  kebalik  lanyalla  gk ngajak org dukung jokowi  riode kecuali  bis "
"198"," trs kena  takut  jokowi maju  riode  rtanyaanya drun"
"199","setuju tolak jokowi  periode  pemilu dipercepatperiodeanarkisdemokrasiperiodeanarkisdemokrasi "
"200","rakyat bersatu menolak keras jokowi  periode  bikin negara  hancurrakyat  pemilu dipercepat "
"201","  lihan  rakyat tolak jokowi  periode  pemilu dipercepatperiodeanarkisdemokrasi "
"202","kalo   rakyat dicekoki berita lsu diduga selsu identitas  ijazahnya negara  hancurtak a "
"203","   rakyat indonesia     memilih esidenyaitu memilih bak jokowi  "
"204","ketua relawan jokowi mania joman immanuel ebenezer alias noel menilai isu  menyerukan presiden jokowi  ri "
"205"," jokowi  periode"
"206","  jokowi udah menang berkali drun kadrunmenang jd walikota solo  riode menan "
"207","rakyat  pemilu dipercepat  jokowi  periode periodeanarkisdemokrasi periodeanarkisdemokrasi "
"208","rakyat  pemilu dipercepattolak keras jokowi  periode periodeanarkisdemokrasi "
"209"," yg nikmati jokowi  riode  ong  kenyang udah siaan nerusnya gubernur bokesebagai esiden boneka"
"210"," bajingan  pengkhianat manusia njilat  munafik berkuml  era jokowi berkuasaharus percepat pemi "
"211"," bajingan  berkuml dijaman jokowi berkuasarakyat  pemilu dircet tolak keras jokowi  peri "
"212","  jokowi kalah telak piles  periodepdip  minim kursi mukai  dprd ting "
"213","hancurkan oligarki cina sumber bencana indonesiaperiodeanarkisdemokrasiperiodeanarkisdemokrasitolak keras j "
"214"," yg demokrasi  serti a kkn tumbuh subur    jabatan memobilisasi  manut jokowi "
"215","  klo  yg bilang  masyarakat indonesia  k jokowi   ato  riode  gim "
"216","masyaallah  norma ternggirkan akibat nafsu serakah  berkuasatolak keras jokowi  periode  "
"217","kalo  mam berestasi  ijazah serba palsu   pengkhianat bangsa  negaratolak jokowi  "
"218"," imam m "
"219","macé torang setuju sekat  riode utk kdhe samikan salam utk pacé "
"220","bencana alam silih berganti tamknya gsemerutidak tahan meluaan amarahnya tanda  pemimn zalim ngkhian "
"221","jokowi   mengumlkan manusia brengsek estasi  hatinyamanusia   ntar disingkirkanakibatn "
"222"," terserah kau kadrun kuet  lih   yg sti k jokowi   skrg  menjala "
"223"," dijaman jokowi pejabat kelakuan brengsek msh   menjabatmasih  jokowi  periodeperiode ha "
"224"," makmur dijaman jokowi   oligarki pejabat koruam neo pki     juta rakyat menderi "
"225"," udah   riode  cuku  nih kayak takut   jokowi udah gak menjabat kayak "
"226","indonesia  terruk dimn  pemimn serba palsu  pengkhianat bangsa  negaratolak jokowi  perio "
"227","  asrasi  riode rjuangkan "
"228","  amanah  allah swt  rakyat   emban "
"229"," jokowi   riode"
"230","sia   indonesia dimn jokowi  periode negara hancur utang segunung anak bangsa tercah belah "
"231"," rakyat  waras otaknya  jokowi   riodejokowi esiden yg  cintai rakyat"
"232"," jokowi  riode"
"233"," tetaimigran kanjokowi  mantan walikota solo  riode gubernur d "
"234","   element rakyat  jokowi   riode"
"235"," klo ngedit yg kreatif lahh  tgl  foto nya berbedaitu jaman jokowi riode rtama msh men "
"236"," jokowi  riode"
"237"," gw  kadroen tolol gw ndukung jokowi  riode"
"238","  hasrat  riode   membahayakan bangsa "
"239"," hahahahaha cari info  yg bener heru  jabat karir  pemda dki  bawa "
"240"," mna bukti nya  nunjukn gk klo  yg   riode klo yg  relawan nya wa "
"241"," jokowi  riode"
"242","teriakan jokowi  periode ketua jokowi mania menilai  etis bangsa  carut marut "
"243"," cm masyarakat yg  p jokowi  riode"
"244","pengaruh k jokowi dlm raihan suara   bera  suara pdip da  terlih esiden  riode  "
"245","warga negeri a ndukung si nganu ketar ketir  jokowi  gandeng gp  takut sakit hati yg r "
"246","  deh ngga   kerja s   kebayang ngga   bene "
"247","pernikahan kaesang  rnikahan ketiga  digelar  presiden jokowi  hamr sembilan  menjaba "
"248","   andi widjajanto  sekretaris kabinet  kambing hitam   hubungan dingin jokowi  "
"249"," ndukung jokowi n  mencari kenyamanankenyamanan  meleskan esiden  riode isu rnjan "
"250","  riode "
"251"," klean ga cak ya  riode tereak gn jatuhin jokowi ta gagal mulu masyarakat "
"252"," s berimbang gw lbh setuju diadakan referendum lihannya jokowi turun     riode "
"253","  jokowi yg lu jelekin  udah  gub jateng gub dki  jd esiden  "
"254","jokowi   nya darah biru  mimn rtai   litikus kondang   presiden  in "
"255"," benergaji kagak    harga naikjak ud mencekek kayak drakula smua rah men "
"256","   fans prabowo     "
"257"," jgn ambil sing langsung lih prabowo aja  les  jgn lih yg    sdh  "
"258","  kemimnan jokowi riode    kentingan jk yg terusik"
"259","ketua relawan jokowi mania joman  relawan jokowi terbelah bebera faksi   cari uang dukung jokowi "
"260"," jokowi  periode"
"261"," gak ngaruh drun suara loe buktinya jokowi tetamenang  riode"
"262","  yg  jokowi  riode  aja  makar tu "
"263"," emang  wktu jokowi mo  riode ga  bu jan  liat skrg  negeri udh ancur an    an "
"264"," bener om ta  surya loh  yg mendukung jokowi  riode"
"265"," aneh ya kena maksa jokowi mundur  jabatantbegitu  relawan yg  jokowi   "
"266"," pencaian jokowi  riodemenikahkan  anaknya  mnjdikan anak  mantunya  walikotasalute"
"267","informasi  rubahan konstitusi tetang nambahan periode     riode jabatan presiden  men "
"268"," lingkaran luhut yg kaya raya   riode  esiden  kenyang mrk siaan ganjar nerus jokowi"
"269"," suruh  riode biar beban  den diselesaikan jokowi ga  kasih yg laindengar jokoi  riode "
"270"," jokowi gentle dak   malumaju trus an   terselesaikanpresiden terbaik  r "
"271"," kadal buluk kadang suka bener dikit otaknya utang soeharto  si kebo mangkrak diakumulasik "
"272","  jokowi suruh mundur kmnamundur kebelakang rumah sabarsabar sti k jokowi mundur  "
"273"," jk   oligarki belio hrs selamat  keluarga am hartabendanya  j "
"274","   o jokowi abila uu konstitusi mengizinkan   jokowi   riode setuju gk "
"275"," ntar  jan ethes  presiden jokowi  riode dilanjutkan ama kaesang  periode diteruskan a "
"276"," goblok   riode a elu gak mikir wkwkwk"
"277"," pendukung nya sti bilang jokowi hebaaaatbayangin klo  menjabat  riode laut dn langit   jual  aseng"
"278","  bekal   analisis terhadaosk rekonomian indonesia  den    a "
"279","memarkan teori maun emris rekonomian indonesia  era jokowi   selayang ndang  riode  "
"280","catatan frans seda rnah menjabat menteri keuangan periode   frans seda  saj "
"281","berita  mengejutkan  orang  hebatnya presiden  bak ir h joko widodo  memrhatikan raky "
"282"," yah gimana ya bro jokowi  jabat x riode      jabatannya waja "
"283","   lintas kabuten  teruskan rjuangan sam kelar riode "
"284"," gausa sokan black camign anies ntar gw counter sma janji  realisasi "
"285"," a bedanya ngana dgn cebong ndukung jokowi yg   dat  riode"
"286"," kadrun bego halu keterusan ga  terima kenyataan jokowi  menang  "
"287"," ong cs  momen tanam budi  omosi ganjar nerus jokowi  kenyang  riode ya ng nambah nih "
"288"," setiahari orang gila suruh esiden mundur ta nggak rnah berhasil  berharak jokowi  riode "
"289","  mayoritas rakyat  k jokowi  riode  "
"290"," gw main jokowi  riode  ga woiiiii  ga  woiiiii"
"291"," kuat sinyal  riode "
"292","   dendam  barisan orang  kelomk yg kecewa  sakit hati yg berkenjangan  joko "
"293","rocky gerung megawati takkan kabulkan kemauan jokowi usung ganjar ataun periode "
"294"," gambar koleksi hp mu  dg ra ahli "
"295"," ya ngeri  kalo  orang yg ngakuny "
"296"," lu  munafik  lu bilang  "
"297"," kalo   acara litik  joko "
"298","  warga negara indonesia  lintas benua  jokowi tujuh riodea loea loe"
"299"," kalo  jokowi  riode   gerombolan kadal buntung  langsung kelojotan dijamin stro "
"300"," indonesia dasarnya ncasilasilanya  limademokrasi negaranyaayo jokowi  riode"
"301"," indonesia menaraan four year plan  diakhir four year plan jokowi   riode"
"302"," ok   gak tau  inform "
"303"," menolak kedatangan anies kau labeli cebong bs   ndukung prabowo  diaceh suara joko "
"304"," gak komenttolong tanyain aja  jokowi esemka a kabar yg  janji kamnyenya udah  ri "
"305"," orang    berkuasa  riode   s "
"306"," yg mendukung  riode  dasar kirnya  a yg sdh   presiden jokowi t "
"307"," kadrun kejangstresdeesi  mudahcukugaungkan   jokowi  periode "
"308","ambil hikmahnya  mantapak jokowimainkan  riode "
"309"," ta tolong  jgn niat suci bak tsb belok krn kentingan  yg dtg menikungdan sudahi dgn "
"310","  jokowi  sukarela sbg esiden  riode  "
"311"," jokowi memikirkan  riode  "
"312","  rcaya  ta  ndukung jokowi   riode kadrun udah ngamuk"
"313"," membaca antusiasnya masyarakat menyambut kehadiran anies   calon esi "
"314","tebak bera  nama daerah  ntt  disebutkanbener bersyukur jokowi menang   riode inintt da "
"315"," lanyalla silahkan jokowi  periode "
"316"," warisan utang sby bera utangan yg riode esiden beramana   yg  "
"317"," embok setuju k dhe  riode kalo  sih yes"
"318"," bangga gw nya esiden jokowi beliau  riode indonesia   maju ngalahin malaysiathailand"
"319"," ga  kagetan gitumimn yg bersahaja gitu ko   rakyat kecillove you k jokow "
"320"," biar  hemat jokowi  periodelanjut  periode "
"321"," silahkan jokowi  periode tolakriode "
"322","gila    dengar orang  gawat ta     tahupresiden jokowi matian biar dunia begi "
"323","  da les lesan   k jokowi  periode"
"324"," lu dendam  ama jokowi  meritahan sah  riode wkwkwkwkw"
"325","  jokowi  riode ngain aja  mbangunan merata  i "
"326"," elu sam ngkat mayor nggak cuku riode  merintahan  tuh orang ud "
"327"," jokowi   riode bong"
"328"," si bak aloysius kena ank wacana jok "
"329"," riode jokowi   kerja kerja kerja tan otakkejadian imr  berulang  disisi  jkw b "
"330","  kasih  tuh junjungan elu   ditinggalin beban k jokowi suruh aja k jokowi "
"331"," klo k jokowi langsung ditetaan  jdi esiden utk  riode keden gimana setuju ga "
"332"," nggak masuk gorong  k sia tau   riode"
"333","  knngebet gantiin k jokowi  beban  den berat kena ga  k jokowi  r "
"334","kebodohan  dimerin dum kebebasan berbicara  berkuml  dijamin  konstitusi jd a yg  "
"335","jokowi  riode "
"336"," pendukung jokowi  menolak  riode   menghenda "
"337"," mudahan undang ngangkatan langsung  riode  dibuatta undangnya berlaku   "
"338"," sia yg  nambah  riodeada bukti   bacotan ngawurkarena k jokowi su "
"339","presiden jokowi taat konstitusi tolak wacana esiden  riode "
"340","  rnah  menyesal memilih jokowi  periode dibandingkan nyesalan  memilih sby  riode"
"341","pks khawatir wacana presiden  periode  hidukarena relawan jokowi  kuml covid "
"342"," kasian kadrun hidumereka merana    alagi jokowi   riode  rah gilanya kadrun"
"343","insyallah tan b keluarga am kroni indonesia  maju  kl  nambah riode  mencalonkan  "
"344","  anies langsung ditetaan  esiden  riode gak  milu   keselama "
"345","penipuan identitas politikyang diundang ra ngajian ibuibu jabodetabek didukung tra "
"346","penipuan identitas politikyang diundang ra ngajian ibuibu jabodetabek didukung tra "
"347"," an   pdb   ratio utang turun     tan   lu  "
"348","   setuju dg statement rocky gerung yg inikalau jenuh   wacana  riode yg   "
"349","dukung jokowi  riode "
"350"," lo gak bahas janji litik k jokowi   riode akah terealisasi   lo jelasi "
"351","   rnah tuliskan cm engka "
"352"," jokowi  periodeindonesia ndah tanganrri  ganti  rrc"
"353","ketua joman  urgensi acara nusantara bersatu   munculkan wacana  periode jokowi "
"354","lantas jokowi  nyaman  relawan  parl parl   ling  jokowi nyaman akah wacan "
"355","  riode kudu dirjuangkan"
"356","   riode  jokowi"
"357","  lanyalla silahkan jokowi  periode "
"358"," lanyalla silahkan jokowi  periode tolakriode tolaknundaanmilu lanyalla"
"359"," ganjar  kuat diback uong  k de mega lih ganjar bagus mega lih an damngi abowo "
"360"," titik jenuh  rakyat yg terlilit ekonomi sulit  jokowi ong  lingkarannya   titik jen "
"361","xin ping  riode rakyat cina   rlawananpak jokowi semoga  semaruk xin ping "
"362"," tidaksedari  mnjd timses jokowi  riode rtama n  tetatidak"
"363"," yg  nya clongingan sun yg  riode jokowi"
"364","  kalo  mbahasan revisi uu rnjangan dr  jd  riode  ente  "
"365","  esiden yg usang  th yg   tambahan   riode"
"366"," lo mah berita yg blm  bener dircaya bro ko lo yg doain k "
"367","  jokowi  kali kalah  sumbar ta kna   presiden  riode ya "
"368","  uud hny  riode  k jokowi  maubayangkan  th  jokowi  soeharto st "
"369"," bukti kalo jokowi layak  esiden  riode  "
"370","  rakyat  jawa baratbangga  berharajokowi  riode"
"371","presiden   rumah duka keluarga ferry mursyidan baldan mantan menteri atrbpn kabinet jokowi riod "
"372"," iya kayak gerombolan kadrun dr riode rtama sami  hobynya demo jokowi suruh mundur sayang "
"373","  biarkan k jokowi mengemban tugas  esiden utk riode yg   biar hutang  bs diselesaikan"
"374","   harga bbm dinaikkan lagikan subsidi listrik dicabutkan nggalakan penerimaan pajak dar "
"375"," allah sdh  jalan terbaik   kerc "
"376"," rakyat  yg kau bioang bosan  kemimnan k jokowi  aja yg  merusak "
"377"," rakyat indonesia rela dimn jokowi am ganjar  riode "
"378"," yaudah gimana kalo  narasi anies  langsung diangkat  esiden  riode  "
"379","   k jokowi    riode dulujatahnya wan god    esiden yg   "
"380"," ya mending jokowi  riode  indonesia    "
"381"," giliran narasi jokowi  riode da teriak giliran kebutuhan  ab suruh  riode kek anak "
"382"," kuota  emang heh peak berdirilah dikaki mu  harga  raky "
"383"," otak kalut sti kena stroke otak    mati akibat mikirin jokowi  riode n "
"384","   kadrun membully jokowi dibilang pki dibilang mukanya "
"385"," kerenkue hasil angunan kinerja jokowi  engkau nikmati jugasetiawarga s "
"386"," maaf kalo  berfikir maju  konsisten  negara mobil esemka yg legend    iorit "
"387","    akaljoko silahkan   jokowi  riode indonesia  milik kali "
"388"," ngiritan biaya milu   setujuta sertijab esiden waes mentri dll  tetamahal  m "
"389"," jokowi  riode"
"390","    lumrah  aceh   sejarahnya caes pdip menang  acehpak sby non pdip  "
"391","    ntar ngomongin  sendirimdhan   bak    dendam da "
"392","  mendukung  riode buwat bak jokowi"
"393"," pakde jokowi  riode  ta stikan esiden   nerus  ngganti"
"394","  orang  bersih hatinya   mengerti isi berita   jokowi   esiden ri  riode"
"395","  grombolan nya tawarin  riode oke oke   riode koru riode  koru "
"396","walo aq dukung trs jokowi tsejak  aq trus ngetawain janji kamnye jokowi ttg langgaran ham berat "
"397","  dukung sia ojojokowi  riode   "
"398","  klo prabowo yg waes klo prabowo caes  deh riode    gak nya gagasan k "
"399"," pemilu  harga mati  menunda  menyalahi uu  menambah ms jabatan mjd  periode  peng "
"400","waahkeren l p jokowi andai   riode klik  lihat kontennya "
"401","   kalianlah  bongak bodoh  menjilat rmen manis kebohong "
"402","bener bikin suksessam  riode org  berubahyg tdk  diubah     "
